Pos,2024,Title,Director,Year,Country,Mins
68,70,"Royal Tenenbaums, The","Anderson, Wes",2001,USA,109
69,66,"Social Network, The","Fincher, David",2010,USA,120
70,68,Roma,"Cuarón, Alfonso",2018,Mexico,135
71,76,"Prophet, A","Audiard, Jacques",2009,France,155
72,71,Carol,"Haynes, Todd",2015,UK,118
73,72,Before Sunset,"Linklater, Richard",2004,USA,80
74,74,Silent Light,"Reygadas, Carlos",2007,Mexico,136
75,73,"4 Months, 3 Weeks and 2 Days","Mungiu, Cristian",2007,Romania,113
76,75,"Dark Knight, The","Nolan, Christopher",2008,USA,152
77,83,"Piano Teacher, The","Haneke, Michael",2001,Austria,130
78,77,Y tu mamá también,"Cuarón, Alfonso",2001,Mexico,105
79,79,Dancer in the Dark,"von Trier, Lars",2000,Denmark,140
80,84,"Great Beauty, The","Sorrentino, Paolo",2013,Italy,141
81,80,"Intruder, The","Denis, Claire",2004,France,130
82,81,Millennium Mambo,Hou Hsiao-hsien,2001,Taiwan,119
83,78,Hunger,"McQueen, Steve",2008,UK,96
84,82,Moulin Rouge!,"Luhrmann, Baz",2001,Australia,127
85,91,Distant,"Ceylan, Nuri Bilge",2002,Turkey,110
86,88,Memento,"Nolan, Christopher",2000,USA,113
87,85,35 Shots of Rum,"Denis, Claire",2008,France,101
88,90,Fish Tank,"Arnold, Andrea",2009,UK,123
89,86,Once Upon a Time... in Hollywood,"Tarantino, Quentin",2019,USA,161
90,89,"New World, The","Malick, Terrence",2005,USA,135
91,87,Petite Maman,"Sciamma, Céline",2021,France,73
92,94,Grizzly Man,"Herzog, Werner",2005,USA,103
93,95,Requiem for a Dream,"Aronofsky, Darren",2000,USA,100
94,93,Still Life,Jia Zhangke,2006,China,113
95,96,Inglourious Basterds,"Tarantino, Quentin",2009,USA,153
96,92,Sideways,"Payne, Alexander",2004,USA,123
97,110,Let the Right One In,"Alfredson, Tomas",2008,Sweden,114
98,101,Margaret,"Lonergan, Kenneth",2011,USA,150
99,98,Blissfully Yours,"Weerasethakul, Apichatpong",2002,Thailand,125
100,97,"History of Violence, A","Cronenberg, David",2005,USA,96
